index,GAME_ID,Team_Name,1st Half,2nd Half,1st OT,2nd OT,3rd OT,Total
,3954930,Cleveland St. (0-1),41,36,,,,77
,3954930,Duquesne (1-0),38,41,,,,79
,3969793,Duquesne (19-11),31,38,,,,69
,3969793,VCU (19-11),27,32,,,,59
,5252306,#5 Saint Peter's (17-13),27,23,,,,50
,5252306,#4 Rider (15-17),18,30,,,,48
,5250415,#14 Old Dominion (7-25),38,36,9,,,83
,5250415,#11 Texas St. (15-17),28,46,18,,,92
,3954918,Alcorn (0-1),22,37,,,,59
,3954918,Arkansas (1-0),46,47,,,,93
,3955015,La Verne (0-0),33,29,,,,62
,3955015,Cal Poly (1-0),47,33,,,,80
,3969826,Tennessee (24-6),35,31,,,,66
,3969826,South Carolina (24-6),24,35,,,,59
,3954935,Lourdes,29,27,,,,56
,3954935,Illinois St. (1-0),38,37,,,,75
,3955053,Colorado Col. (0-0),26,32,,,,58
,3955053,Northern Colo. (1-0),40,47,,,,87
,5251299,#7 Tex. A&M-Commerce (13-19),26,43,,,,69
,5251299,#6 Northwestern St. (9-23),33,31,,,,64
,5252669,#7 North Texas (18-14),30,41,,,,71
,5252669,#2 Fla. Atlantic (25-7),35,42,,,,77
,3954936,Green Bay (0-1),18,26,,,,44
,3954936,Iowa St. (1-0),49,36,,,,85
,5252302,#7 Iona (16-17),31,32,,,,63
,5252302,#2 Fairfield (21-11),34,34,,,,68
,3955011,N.C. Central (0-1),18,38,,,,56
,3955011,Kansas (1-0),59,40,,,,99
,3969817,Providence (19-11),30,41,,,,71
,3969817,Georgetown (9-21),26,32,,,,58
